item,itemLabel,startDate,endDate
Q379563,José Serra,1998-03-31,2002-02-20
Q16496845,Barjas Negri,2002-02-21,2003-01-01
Q10298868,Humberto Costa,2003-01-01,2005-07-08
Q10310500,José Saraiva Felipe,2005-07-08,2006-03-31
Q9587826,Agenor Álvares,2006-03-31,2007-03-16
Q10309519,José Gomes Temporão,2007-03-16,2010-12-31
Q4163528,Alexandre Padilha,2011-01-01,2014-02-02
Q16494211,Arthur Chioro,2014-02-03,2015-10-02
Q16337847,Marcelo Castro,2015-10-02,2016-04-27
Q10361085,Ricardo Barros,2016-05-12,2018-04-01
Q16337518,Gilberto Occhi,2018-04-02,2018-12-31
Q18472576,Luiz Henrique Mandetta,2019-01-01,2020-04-16
Q90844310,Nelson Teich,2020-04-17,2020-05-15
Q94787924,Eduardo Pazuello,2020-06-02,2021-03-23
Q105969706,Marcelo Queiroga,2021-03-23,
