@@,item,itemlabel,startdate,enddate
->,Q6293085,José Maranhão,1999-01->1999-01-01,2002-04-06
---,Q7638345,Cássio Cunha Lima,2003-01,2007-01
+++,Q7638345,Cássio Cunha Lima,2003-01-01,2007-01-01
->,Q7638345,Cássio Cunha Lima,2007-01->2007-01-01,2009-02-17
->,Q7322605,Ricardo Coutinho,2011-01->2011-01-01,2014-12-31
->,Q7322605,Ricardo Coutinho,2015-01->2015-01-01,2018-12-31
