@@,itemlabel,item,startdate,enddate
->,Ciro Gomes,Q744798,1991-03-15,1994-09-06->1994-09-08
->,Francisco Adalberto de Oliveira Barros Leal->Francisco de Barros,Q10284546,1994-09-08,1994-10-09
->,Francisco de Paula Rocha Aguiar->Francisco Aguiar,Q10285420,1994-10-09,1995-01-01
->,Tasso Jereissati,Q7687655,1995-01-01,2002-04-06->1999-01-01
+++,Tasso Jereissati,Q7687655,1999-01-01,2002-04-06
->,Cid Gomes,Q5119489,2007-01-01,2015-01-01->2011-01-01
+++,Cid Gomes,Q5119489,2011-01-01,2015-01-01
->,Camilo Santana,Q18242106,2015-01-01,NULL->2019-01-01
+++,Camilo Santana,Q18242106,2019-01-01,
