item,itemLabel,position,positionLabel,startDate,endDate
Q52871852,Hamilton Mourão,,Vice President,2018-08-05,
Q15985219,Ciro Nogueira,,Chief of Staff,2021-07-26,
Q106307801,Paulo Sérgio Nogueira de Oliveira,,Minister of Defence,2022-03-31,
Q106271551,Carlos Alberto França,,Minister of Foreign Affairs,2021-03-29,
Q56347746,Paulo Guedes,,Minister of the Economy,2018-10-11,
,José Carlos Oliveira,,Minister of Labour and Social Security,2022-03-31,
Q105969706,Marcelo Queiroga,,Minister of Health,2021-03-16,
,Victor Godoy,,Minister of Education,2022-04-18,
,Paulo Alvim,,"Minister of Science, Technology and Innovation",2022-03-31,
Q10279146,Fábio Faria,,Minister of Communications,2020-06-10,
Q106290142,Anderson Torres,,Minister of Justice and Public Security,2021-03-29,
,Marcelo Sampaio,,Minister of Infrastructure,2022-03-30,
Q107348193,Joaquim Alvaro Pereira Leite,,Minister of Environment,2021-06-23,
,Marcos Montes,,Minister of Agriculture,2022-03-30,
Q59308525,Bento Costa Lima,,Minister of Mines and Energy,2018-11-30,
,Cristiane Britto,,"Minister of Woman, Family and Human Rights",2022-03-28,
,Ronaldo Vieira Bento,,Minister of Citizenship,2022-03-30,
,Célio Faria Júnior,,Secretary of Government,2022-03-31,
Q64682549,Luiz Eduardo Ramos,,Secretary-General of the Presidency,2021-07-26,
Q94787924,Eduardo Pazuello,,Secretary of Strategic Affairs of the Presidency,2021-06-01,
Q58812288,Roberto Campos Neto,,President of the Central Bank,2018-11-16,
Q107972708,Bruno Bianco,,Attorney General of the Union,2021-08-06,
Q30936068,Wagner Rosário,,Controller General of the Union,2018-11-20,
