@@,item,itemlabel,position,positionlabel
->,Q65936522->Q59308525,Adolfo Sachsida->Bento Costa Lima,Q59346269,Minister of Mines and Energy
---,Q9637698,Augusto Heleno,Q99236096,Chief Minister of the Institutional Security Office of the Presidency of the Republic
---,Q106621007,Carlos Brito,Q59346275,Minister of Tourism of Brazil
---,Q111446676,Daniel de Oliveira,Q109922293,Minister of Regional Development
---,Q10304982,Jair Bolsonaro,Q5176750,President of Brazil
