item,itemLabel,startDate,endDate,sourceDate,psid
Q10308999,José Bianco,1999-01-01,2003-01-01,,Q10308999-FBF73A7F-EEA4-425C-B616-E4FDA9C2AB65
Q9010152,Ivo Cassol,2003-01-01,2010-03-31,,Q9010152-CFE1A270-71CB-4B81-8CED-6BE3AA438615
Q10311084,João Aparecido Cahulla,2010-03-31,2011-01-01,,Q10311084-50C515E6-95B9-471E-BFF7-18628A9BBD1E
Q9849034,Confúcio Moura,2011-01-01,2018-04-05,,Q9849034-AFC786C2-0AF4-4A46-9161-BC2BC7108090
Q51882561,Daniel Pereira,2018-04-06,2018-12-31,,Q51882561-2A39432F-706B-44EE-9590-8D75EF9C2EDB
Q60345250,Marcos Rocha,2019-01-01,,,Q60345250-118869b6-40b2-019b-2777-4a72be87896b
