@@,itemlabel,item,startdate,enddate
+++,Fernando Lyra,Q4704009,1985-03-15,1986-02-14
+++,Paulo Brossard,Q10346483,1986-02-14,1989-01-19
+++,Oscar Dias Correia,Q10342175,1989-01-19,1989-08-09
+++,Bernardo Cabral,Q10308983,1990-03-15,1990-10-13
+++,Jarbas Passarinho,Q10305370,1990-10-15,1992-04-02
->,Maurício José Corrêa->Maurício Corrêa,Q1395579,1992-10-05->1992-10-02,1994-03-30->1994-04-05
+++,Alexandre Dupeyrat,Q16488184,1994-04-05,1995-01-01
+++,Nelson Jobim,Q630887,1995-01-01,1997-04-08
+++,Milton Seligman,Q10330142,1997-04-08,1997-05-22
+++,José de Jesus Filho,Q10310797,1998-04-01,1998-04-07
+++,Renan Calheiros,Q3623584,1998-04-07,1999-07-19
+++,José Carlos Dias,Q10309086,1999-07-19,2000-04-14
+++,José Gregori,Q10309548,2000-04-14,2001-11-14
+++,Aloysio Nunes,Q9607654,2001-11-14,2002-04-03
+++,Miguel Reale Júnior,Q10329841,2002-04-03,2002-07-10
+++,Paulo de Tarso Ramos Ribeiro,Q10346905,2002-07-10,2003-01-01
+++,Márcio Thomaz Bastos,Q727123,2003-01-01,2007-03-16
+++,Tarso Genro,Q3515818,2007-03-16,2010-02-10
+++,Luiz Paulo Barreto,Q10320820,2010-02-10,2010-12-31
+++,José Eduardo Cardozo,Q10309291,2011-01-01,2016-03-03
+++,Wellington César Lima e Silva,Q23893528,2016-03-03,2016-03-14
+++,Eugênio Aragão,Q23893552,2016-03-14,2016-05-12
+++,Alexandre de Moraes,Q22294946,2016-05-12,2017-02-22
->,José Levi Mello do Amaral Júnior->José Levi,Q28920415,2017-02-07,2017-03-07
->,Osmar Serraglio,Q10342261,2017-03-07,2017-05-28->2017-05-31
+++,Torquato Jardim,Q10383681,2017-05-31,2019-01-01
->,Anderson Torres,Q106290142,2020-03-30->2021-03-30,
