ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q105766510,Q105766510,,,,,,,,,,,,,,,,
,Q98923159,General Consultancy of the Republic,1903-01-02,11,,,,,1993-02-10,11,,,Q1439359,Office of the Attorney-General,,,,
,Q16485667,Ministry of Aeronautics of Brazil,1941-01-20,11,,,1999-06-09,11,,,,,Q1153972,Ministry of Defense,,,,
,Q104180437,General Staff of the Armed Forces of Brazil,1946-04-01,11,,,1999-06-09,11,,,,,Q6269401,Joint Staff of the Armed Forces of Brazil,,,,
,Q10369262,Secretariat of Social Communication,1979-05-23,11,,,2020-06-10,11,,,,,,,,,,
,Q10369288,Secretariat of Institutional Relations of Brazil,2005-07-21,11,,,2015-04-07,11,,,,,,,,,,
,Q10369260,Secretariat for Strategic Affairs of Brazil,2008-07-23,11,,,2017-02-03,11,,,,,,,,,,
,Q100711810,cabinet of ministers of Jair Bolsonaro,2019-01-01,11,2019-01-01,11,2023-01-01,11,,,Q100549890,cabinet of ministers of Michel Temer,,,Q100549890,cabinet of ministers of Michel Temer,,
