name,id,positionID,startDate,endDate,position
Onyx Lorenzoni,Q10341050,,,,Casa Civil
Walter Souza Braga Netto,Q49323012,,,,Casa Civil
Luiz Eduardo Ramos,Q64682549,,,,Casa Civil
Ciro Nogueira,Q15985219,,,,Casa Civil
Paulo Guedes,Q56347746,,,,Ministério da Economia
Onyx Lorenzoni,Q10341050,,,,Ministério do Trabalho e Previdência Social
José Carlos Oliveira,Q111446648,,,,Ministério do Trabalho e Previdência Social
Marcos Pontes,Q317643,,,,"Ministério da Ciência, Tecnologia e Inovações"
Paulo Alvim,Q111444580,,,,"Ministério da Ciência, Tecnologia e Inovações"
Fábio Faria,Q10279146,,,,Ministério das Comunicações
Sergio Moro,Q19607958,,,,Ministério da Justiça e Segurança Pública
André Mendonça,Q60396070,,,,Ministério da Justiça e Segurança Pública
Anderson Gustavo Torres,Q106290142,,,,Ministério da Justiça e Segurança Pública
Tereza Cristina,Q10380562,,,,"Ministério da Agricultura, Pecuária e Abastecimento"
Marcos Montes Cordeiro,Q10325465,,,,"Ministério da Agricultura, Pecuária e Abastecimento"
Augusto Heleno,Q9637698,,,,Gabinete de Segurança Institucional
FernandoAzevedo e Silva,Q58586921,,,,Ministério da Defesa
Walter Braga Netto,Q49323012,,,,Ministério da Defesa
Paulo Sérgio Nogueira de Oliveira,Q106307801,,,,Ministério da Defesa
Ernesto Araújo,Q58642905,,,,Ministério das Relações Exteriores
Carlos Alberto Franco França,Q106271551,,,,Ministério das Relações Exteriores
Roberto Campos Neto,Q58812288,,,,Banco Central do Brasil
Wagner Rosário,Q30936068,,,,Controladoria-Geral da União
Luiz HenriqueMandetta,Q18472576,,,,Ministério da Saúde
Nelson Teich,Q90844310,,,,Ministério da Saúde
Eduardo Pazuello,Q94787924,,,,Ministério da Saúde
Marcelo Queiroga,Q105969706,,,,Ministério da Saúde
André Mendonça,Q60396070,,,,Advocacia-Geral da União
José Levi Mello,Q28920415,,,,Advocacia-Geral da União
André Mendonça,Q60396070,,,,Advocacia-Geral da União
Bruno Bianco,Q107972708,,,,Advocacia-Geral da União
Gustavo Bebianno,Q59137777,,,,Secretaria-Geral da Presidência da República
Floriano Peixoto Vieira Neto,Q5461061,,,,Secretaria-Geral da Presidência da República
Jorge Oliveira,Q64760330,,,,Secretaria-Geral da Presidência da República
Pedro Cesar Sousa (interino),,,,,Secretaria-Geral da Presidência da República
Onyx Lorenzoni,Q10341050,,,,Secretaria-Geral da Presidência da República
Luiz Eduardo Ramos,Q64682549,,,,Secretaria-Geral da Presidência da República
Ricardo Vélez Rodríguez,Q59123716,,,,Ministério da Educação
Abraham Weintraub,Q63039824,,,,Ministério da Educação
Carlos Decotelli,Q96643922,,,,Ministério da Educação
Antonio Paulo Vogel(interino),Q96474860,,,,Ministério da Educação
Milton Ribeiro,Q97161166,,,,Ministério da Educação
Victor Godoy Veiga,Q111433242,,,,Ministério da Educação
Carlos Alberto dos Santos Cruz,Q13416899,,,,Secretaria de Governo
Luiz Eduardo Ramos,Q64682549,,,,Secretaria de Governo
Flávia Arruda,Q60961728,,,,Secretaria de Governo
Célio Faria Júnior,,,,,Secretaria de Governo
Tarcísio Gomes de Freitas,Q60392579,,,,Ministério da Infraestrutura
Marcelo Sampaio,Q111446664,,,,Ministério da Infraestrutura
Gustavo Canuto,Q60395001,,,,Ministério do Desenvolvimento Regional
Rogério Marinho,Q10364098,,,,Ministério do Desenvolvimento Regional
Daniel de Oliveira Duarte Ferreira,Q111446676,,,,Ministério do Desenvolvimento Regional
Osmar Terra,Q10342262,,,,Ministério da Cidadania
Onyx Lorenzoni,Q10341050,,,,Ministério da Cidadania
João Roma,Q59204311,,,,Ministério da Cidadania
Ronaldo Vieira Bento,Q111446919,,,,Ministério da Cidadania
Marcelo Álvaro Antônio,Q48868228,,,,Ministério do Turismo
Gilson Machado Neto,Q104605629,,,,Ministério do Turismo
Carlos Alberto Gomes de Brito,,,,,Ministério do Turismo
Bento Albuquerque,Q59308525,,,,Ministério de Minas e Energia
Adolfo Sachsida,Q65936522,,,,Ministério de Minas e Energia
Damares Alves,Q59577903,,,,"Ministério da Mulher, da Família e dos Direitos Humanos"
Cristiane Britto,Q111446662,,,,"Ministério da Mulher, da Família e dos Direitos Humanos"
Ricardo de Aquino Salles,Q15123609,,,,Ministério do Meio Ambiente
Joaquim Alvaro Pereira Leite,Q107348193,,,,Ministério do Meio Ambiente
