item,name,ministryLabel
Q107972708,Bruno Bianco,Advocacia-Geral da União
Q58812288,Roberto Campos Neto,Banco Central do Brasil
Q15985219,Ciro Nogueira,Casa Civil
Q30936068,Wagner Rosário,Controladoria-Geral da União
Q9637698,Augusto Heleno,Gabinete de Segurança Institucional
Q10325465,Marcos Montes Cordeiro,"Ministério da Agricultura, Pecuária e Abastecimento"
Q111446919,Ronaldo Vieira Bento,Ministério da Cidadania
Q111444580,Paulo Alvim,"Ministério da Ciência, Tecnologia e Inovações"
Q106307801,Paulo Sérgio Nogueira de Oliveira,Ministério da Defesa
Q56347746,Paulo Guedes,Ministério da Economia
Q111433242,Victor Godoy Veiga,Ministério da Educação
Q111446664,Marcelo Sampaio,Ministério da Infraestrutura
Q106290142,Anderson Gustavo Torres,Ministério da Justiça e Segurança Pública
Q111446662,Cristiane Britto,"Ministério da Mulher, da Família e dos Direitos Humanos"
Q105969706,Marcelo Queiroga,Ministério da Saúde
Q10279146,Fábio Faria,Ministério das Comunicações
Q106271551,Carlos Alberto Franco França,Ministério das Relações Exteriores
Q65936522,Adolfo Sachsida,Ministério de Minas e Energia
Q111446676,Daniel de Oliveira Duarte Ferreira,Ministério do Desenvolvimento Regional
Q107348193,Joaquim Alvaro Pereira Leite,Ministério do Meio Ambiente
Q111446648,José Carlos Oliveira,Ministério do Trabalho e Previdência Social
,Carlos Alberto Gomes de Brito,Ministério do Turismo
,Célio Faria Júnior,Secretaria de Governo
Q64682549,Luiz Eduardo Ramos,Secretaria-Geral da Presidência da República
