item,itemLabel,startDate,endDate
,Walter do Carmo Barletta,2000-01,
Q2362405,Gilmar Ferreira Mendes,2000-01,2002-06
,José Bonifácio Borges de Andrada,2002-06,2002-12
,Álvaro Augusto Ribeiro Costa,2003-01,2007-03
Q10266077,José Antônio Dias Toffoli,2007-03,2009-10
Q3624445,Luis Inácio Lucena Adams,2009-10,2016-03
Q10309291,José Eduardo Cardozo,2016-03,2016-05
Q24076835,Fábio Medina Osório,2016-05,2016-09
Q26884925,Grace Maria Mendonça,2016-09,2019-01
Q60396070,André Luiz de Almeida Mendonça,2019-01,2020-04
Q28920415,José Levi Mello do Amaral Júnior,2020-04,2021-03
Q60396070,André Luiz de Almeida Mendonça,2021-03,2021-08
Q107972708,Bruno Bianco Leal,2021-08,
