item,itemLabel,startDate,endDate
Q10309086,José Carlos Dias,1999-07-19,2000-04-14
Q10309548,José Gregori,2000-04-14,2001-11-14
Q9607654,Aloysio Nunes,2001-11-14,2002-04-03
Q10329841,Miguel Reale Júnior,2002-04-03,2002-07-10
Q10346905,Paulo de Tarso Ramos Ribeiro,2002-07-10,2003-01-01
Q727123,Márcio Thomaz Bastos,2003-01-01,2007-03-16
Q3515818,Tarso Genro,2007-03-16,2010-02-10
Q10320820,Luiz Paulo Barreto,2010-02-10,2010-12-31
Q10309291,José Eduardo Cardozo,2011-01-01,2016-03-03
Q23893528,Wellington César Lima e Silva,2016-03-03,2016-03-14
Q23893552,Eugênio Aragão,2016-03-14,2016-05-12
Q22294946,Alexandre de Moraes,2016-05-12,2017-02-22
Q28920415,José Levi,2017-02-07,2017-03-07
Q10342261,Osmar Serraglio,2017-03-07,2017-05-31
Q10383681,Torquato Jardim,2017-05-31,2019-01-01
Q19607958,Sergio Moro,2019-01-01,2020-04-24
Q60396070,André Mendonça,2020-04-29,2021-03-29
Q106290142,Anderson Torres,2021-03-30,
