state,stateLabel,person,personLabel
Q40780,Acre,Q10290029,Gladson Cameli
Q40885,Alagoas,Q10359235,Renan Filho
Q40130,Amapá,Q9095459,Waldez Góes
Q40040,Amazonas,Q58047696,Wilson Lima
Q40430,Bahia,Q10365240,Rui Costa
Q40123,Ceará,Q18242106,Camilo Santana
Q119158,Distrito Federal,Q58053056,Ibaneis Rocha
Q43233,Espírito Santo,Q945907,Renato Casagrande
Q41587,Goiás,Q10364348,Ronaldo Caiado
Q42362,Maranhão,Q10283063,Flávio Dino
Q42824,Mato Grosso,Q7724122,Mauro Mendes
Q43319,Mato Grosso do Sul,Q10358939,Reinaldo Azambuja
Q39109,Minas Gerais,Q57092113,Romeu Zema
Q39517,Pará,Q3784499,Helder Barbalho
Q38088,Paraíba,Q56351397,João Azevêdo
Q15499,Paraná,Q10357567,Ratinho Júnior
Q40942,Pernambuco,Q18279658,Paulo Câmara
Q42722,Piauí,Q7981381,Wellington Dias
Q41428,Rio de Janeiro,Q57965921,Cláudio Castro
Q43255,Rio Grande do Norte,Q10286993,Fátima Bezerra
Q40030,Rio Grande do Sul,Q16337390,Eduardo Leite
Q43235,Rondônia,Q60345250,Marcos Rocha
Q42508,Roraima,Q59284403,Antonio Denarium
Q41115,Santa Catarina,Q57946067,Carlos Moisés
Q175,São Paulo,Q10311413,João Doria
Q43783,Sergipe,Q10319222,Belivaldo Chagas
"",Tocantins,Q109512763,Wanderlei Barbosa
